label,k,m,ring_dim,time_ms,phase_minhash_ms,phase_encode_ms,phase_encrypt_ms,phase_multiply_ms,phase_rotate_sum_ms,phase_decrypt_ms,phase_bias_correction_ms,memory_bytes,ct_size_bytes,jaccard_computed,jaccard_expected,jaccard_error
accuracy_0.300000_t23,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t24,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t25,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t26,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t27,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t28,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t29,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t30,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t31,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t32,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t33,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t34,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t35,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t36,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t37,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
accuracy_0.300000_t38,128,32,8192,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0.185484,0.176471,0.009013
