circuit,security,k,m,ring_dim,ring_dim_requested,ring_dim_baseline,ring_dim_grew,mult_depth,natural_mult_depth,scaling_mod_size,num_limbs,plaintext_mod,log_q,log_delta,pattern,eval_noise_bits,headroom_bits,saturated,decrypt_ok,decision_ok,expected,got,ct_bytes,status
onehot,STD128,256,256,65536,65536,65536,0,4,1,40,5,786433,200.0,180.4,random,64.40,115.02,0,1,1,1,1,5244465,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,45,5,786433,225.0,205.4,all_match,68.53,135.88,0,1,1,256,256,5244465,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,45,5,786433,225.0,205.4,no_match,69.19,135.23,0,1,1,0,0,5244465,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,45,5,786433,225.0,205.4,random,69.77,134.65,0,1,1,0,0,5244465,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,50,5,786433,250.0,230.4,all_match,74.16,155.26,0,1,1,256,256,5244465,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,50,5,786433,250.0,230.4,no_match,74.55,154.86,0,1,1,0,0,5244465,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,50,5,786433,250.0,230.4,random,73.89,155.52,0,1,1,0,0,5244465,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,52,4,786433,208.0,188.4,all_match,75.85,111.56,0,1,1,256,256,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,52,4,786433,208.0,188.4,no_match,76.83,110.59,0,1,1,0,0,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,52,4,786433,208.0,188.4,random,76.23,111.18,0,1,1,0,0,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,54,4,786433,216.0,196.4,all_match,77.71,117.70,0,1,1,256,256,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,54,4,786433,216.0,196.4,no_match,78.34,117.07,0,1,1,0,0,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,54,4,786433,216.0,196.4,random,79.24,116.17,0,1,1,0,0,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,58,4,786433,232.0,212.4,all_match,82.09,129.32,0,1,1,256,256,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,58,4,786433,232.0,212.4,no_match,83.39,128.02,0,1,1,0,0,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,58,4,786433,232.0,212.4,random,82.30,129.12,0,1,1,0,0,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,60,4,786433,240.0,220.4,all_match,83.80,135.61,0,1,1,256,256,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,60,4,786433,240.0,220.4,no_match,83.91,135.50,0,1,1,0,0,4195727,ok
onehot,STD128,256,256,65536,65536,65536,0,4,1,60,4,786433,240.0,220.4,random,83.95,135.47,0,1,1,2,2,4195727,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,0,2,786433,120.0,100.4,all_match,84.95,14.47,0,1,1,512,512,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,0,2,786433,120.0,100.4,no_match,84.87,14.55,0,1,1,0,0,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,0,2,786433,120.0,100.4,random,85.52,13.89,0,1,1,2,2,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,40,2,786433,80.0,60.4,all_match,59.41,0.00,1,0,1,512,-203491,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,40,2,786433,80.0,60.4,no_match,59.41,0.00,1,0,1,0,310356,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,40,2,786433,80.0,60.4,random,59.40,0.01,1,0,1,3,65556,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,45,2,786433,90.0,70.4,all_match,68.70,0.71,0,1,1,512,512,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,45,2,786433,90.0,70.4,no_match,69.22,0.19,1,0,1,0,-1,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,45,2,786433,90.0,70.4,random,69.22,0.19,1,0,1,1,1,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,50,2,786433,100.0,80.4,all_match,75.23,4.19,0,1,1,512,512,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,50,2,786433,100.0,80.4,no_match,76.17,3.25,0,1,1,0,0,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,50,2,786433,100.0,80.4,random,75.35,4.07,0,1,1,2,2,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,52,2,786433,104.0,84.4,all_match,77.21,6.21,0,1,1,512,512,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,52,2,786433,104.0,84.4,no_match,77.45,5.96,0,1,1,0,0,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,52,2,786433,104.0,84.4,random,76.80,6.61,0,1,1,3,3,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,54,2,786433,108.0,88.4,all_match,79.10,8.31,0,1,1,512,512,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,54,2,786433,108.0,88.4,no_match,78.20,9.22,0,1,1,0,0,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,54,2,786433,108.0,88.4,random,79.22,8.20,0,1,1,0,0,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,58,2,786433,116.0,96.4,all_match,83.63,11.78,0,1,1,512,512,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,58,2,786433,116.0,96.4,no_match,82.60,12.81,0,1,1,0,0,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,58,2,786433,116.0,96.4,random,82.52,12.89,0,1,1,1,1,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,60,2,786433,120.0,100.4,all_match,84.93,14.49,0,1,1,512,512,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,60,2,786433,120.0,100.4,no_match,85.03,14.38,0,1,1,0,0,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,1,1,60,2,786433,120.0,100.4,random,84.61,14.81,0,1,1,2,2,4195371,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,40,3,786433,120.0,100.4,all_match,64.64,34.77,0,1,1,512,512,6292685,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,40,3,786433,120.0,100.4,no_match,65.10,34.31,0,1,1,0,0,6292685,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,40,3,786433,120.0,100.4,random,65.33,34.09,0,1,1,4,4,6292685,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,45,3,786433,135.0,115.4,all_match,70.55,43.86,0,1,1,512,512,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,45,3,786433,135.0,115.4,no_match,70.59,43.82,0,1,1,0,0,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,45,3,786433,135.0,115.4,random,70.35,44.07,0,1,1,3,3,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,50,3,786433,150.0,130.4,all_match,75.24,54.18,0,1,1,512,512,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,50,3,786433,150.0,130.4,no_match,75.46,53.95,0,1,1,0,0,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,50,3,786433,150.0,130.4,random,74.94,54.47,0,1,1,1,1,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,52,3,786433,156.0,136.4,all_match,77.15,58.26,0,1,1,512,512,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,52,3,786433,156.0,136.4,no_match,77.42,57.99,0,1,1,0,0,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,52,3,786433,156.0,136.4,random,76.68,58.74,0,1,1,0,0,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,54,3,786433,162.0,142.4,all_match,80.18,61.23,0,1,1,512,512,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,54,3,786433,162.0,142.4,no_match,79.58,61.83,0,1,1,0,0,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,54,3,786433,162.0,142.4,random,79.28,62.14,0,1,1,4,4,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,58,3,786433,174.0,154.4,all_match,82.11,71.31,0,1,1,512,512,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,58,3,786433,174.0,154.4,no_match,82.96,70.45,0,1,1,0,0,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,58,3,786433,174.0,154.4,random,83.05,70.37,0,1,1,1,1,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,60,3,786433,180.0,160.4,all_match,85.24,74.18,0,1,1,512,512,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,60,3,786433,180.0,160.4,no_match,84.97,74.45,0,1,1,0,0,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,2,1,60,3,786433,180.0,160.4,random,85.45,73.97,0,1,1,0,0,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,40,4,786433,160.0,140.4,all_match,65.32,74.09,0,1,1,512,512,8390015,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,40,4,786433,160.0,140.4,no_match,64.91,74.51,0,1,1,0,0,8390015,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,40,4,786433,160.0,140.4,random,65.40,74.02,0,1,1,2,2,8390015,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,45,4,786433,180.0,160.4,all_match,71.33,88.09,0,1,1,512,512,8390015,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,45,4,786433,180.0,160.4,no_match,71.20,88.21,0,1,1,0,0,8390015,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,45,4,786433,180.0,160.4,random,70.22,89.20,0,1,1,2,2,8390015,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,50,4,786433,200.0,180.4,all_match,75.90,103.52,0,1,1,512,512,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,50,4,786433,200.0,180.4,no_match,75.34,104.07,0,1,1,0,0,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,50,4,786433,200.0,180.4,random,75.55,103.86,0,1,1,4,4,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,52,4,786433,208.0,188.4,all_match,78.26,109.15,0,1,1,512,512,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,52,4,786433,208.0,188.4,no_match,77.62,109.79,0,1,1,0,0,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,52,4,786433,208.0,188.4,random,77.44,109.98,0,1,1,2,2,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,54,4,786433,216.0,196.4,all_match,80.15,115.27,0,1,1,512,512,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,54,4,786433,216.0,196.4,no_match,79.90,115.51,0,1,1,0,0,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,54,4,786433,216.0,196.4,random,78.77,116.65,0,1,1,2,2,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,58,4,786433,232.0,212.4,all_match,83.03,128.39,0,1,1,512,512,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,58,4,786433,232.0,212.4,no_match,84.33,127.08,0,1,1,0,0,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,58,4,786433,232.0,212.4,random,83.64,127.78,0,1,1,3,3,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,60,3,786433,180.0,160.4,all_match,84.39,75.02,0,1,1,512,512,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,60,3,786433,180.0,160.4,no_match,85.39,74.02,0,1,1,0,0,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,3,1,60,3,786433,180.0,160.4,random,85.87,73.54,0,1,1,2,2,6292701,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,40,5,786433,200.0,180.4,all_match,66.45,112.96,0,1,1,512,512,10487345,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,40,5,786433,200.0,180.4,no_match,66.57,112.85,0,1,1,0,0,10487345,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,40,5,786433,200.0,180.4,random,66.17,113.25,0,1,1,0,0,10487345,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,45,5,786433,225.0,205.4,all_match,70.88,133.53,0,1,1,512,512,10487345,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,45,5,786433,225.0,205.4,no_match,70.41,134.01,0,1,1,0,0,10487345,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,45,5,786433,225.0,205.4,random,70.66,133.76,0,1,1,6,6,10487345,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,50,5,786433,250.0,230.4,all_match,75.11,154.31,0,1,1,512,512,10487345,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,50,5,786433,250.0,230.4,no_match,76.42,153.00,0,1,1,0,0,10487345,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,50,5,786433,250.0,230.4,random,75.97,153.45,0,1,1,4,4,10487345,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,52,5,786433,260.0,240.4,all_match,78.33,161.08,0,1,1,512,512,10487361,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,52,5,786433,260.0,240.4,no_match,78.57,160.84,0,1,1,0,0,10487361,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,52,5,786433,260.0,240.4,random,78.23,161.19,0,1,1,2,2,10487361,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,54,4,786433,216.0,196.4,all_match,79.52,115.90,0,1,1,512,512,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,54,4,786433,216.0,196.4,no_match,79.39,116.02,0,1,1,0,0,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,54,4,786433,216.0,196.4,random,79.67,115.74,0,1,1,2,2,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,58,4,786433,232.0,212.4,all_match,83.66,127.76,0,1,1,512,512,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,58,4,786433,232.0,212.4,no_match,84.09,127.32,0,1,1,0,0,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,58,4,786433,232.0,212.4,random,82.31,129.11,0,1,1,3,3,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,60,4,786433,240.0,220.4,all_match,85.26,134.16,0,1,1,512,512,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,60,4,786433,240.0,220.4,no_match,85.31,134.10,0,1,1,0,0,8390031,ok
onehot,STD128,512,256,131072,131072,131072,0,4,1,60,4,786433,240.0,220.4,random,85.00,134.42,0,1,1,2,2,8390031,ok
onehot,STD128,256,1024,262144,262144,262144,0,1,1,0,2,5767169,120.0,97.5,all_match,86.23,10.31,0,1,1,256,256,8389675,ok
onehot,STD128,256,1024,262144,262144,262144,0,1,1,0,2,5767169,120.0,97.5,no_match,84.74,11.80,0,1,1,0,0,8389675,ok
onehot,STD128,256,1024,262144,262144,262144,0,1,1,0,2,5767169,120.0,97.5,random,87.36,9.18,0,1,1,0,0,8389675,ok
onehot,STD128,256,1024,262144,262144,262144,0,1,1,40,3,5767169,120.0,97.5,all_match,69.07,27.47,0,1,1,256,256,12584141,ok
onehot,STD128,256,1024,262144,262144,262144,0,1,1,40,3,5767169,120.0,97.5,no_match,68.79,27.75,0,1,1,0,0,12584141,ok
onehot,STD128,256,1024,262144,262144,262144,0,1,1,40,3,5767169,120.0,97.5,random,68.17,28.37,0,1,1,0,0,12584141,ok
onehot,STD128,256,1024,262144,262144,262144,0,1,1,45,2,5767169,90.0,67.5,all_match,66.54,0.00,1,0,1,256,-92651,8389675,ok
onehot,STD128,256,1024,262144,262144,262144,0,1,1,45,2,5767169,90.0,67.5,no_match,66.54,0.00,1,0,1,0,-1432328,8389675,ok
onehot,STD128,256,1024,262144,262144,262144,0,1,1,45,2,5767169,90.0,67.5,random,66.53,0.01,1,0,1,0,-1764859,8389675,ok
onehot,STD128,256,1024,262144,262144,262144,0,1,1,50,2,5767169,100.0,77.5,all_match,76.32,0.22,1,0,1,256,256,8389675,ok
onehot,STD128,256,1024,262144,262144,262144,0,1,1,50,2,5767169,100.0,77.5,no_match,76.27,0.27,1,1,1,0,0,8389675,ok
onehot,STD128,256,1024,262144,262144,262144,0,1,1,50,2,5767169,100.0,77.5,random,75.35,1.19,0,1,1,0,0,8389675,ok
onehot,STD128,256,1024,262144,262144,262144,0,1,1,52,2,5767169,104.0,81.5,all_match,77.60,2.94,0,1,1,256,256,8389675,ok
