scenario,method,security_class,universe_size,set_size,k,m,ring_dim,num_cts,mult_depth,phase_encode_ms,phase_encrypt_ms,phase_compute_ms,phase_decrypt_ms,total_ms,memory_bytes,ct_size_bytes,comm_bytes,jaccard_computed,jaccard_expected,jaccard_error,jaccard_rel_error,trials,total_ms_sd,total_ms_median,phase_encode_ms_sd,phase_encode_ms_median,phase_encrypt_ms_sd,phase_encrypt_ms_median,phase_compute_ms_sd,phase_compute_ms_median,phase_decrypt_ms_sd,phase_decrypt_ms_median,rel_error_eligible_n,model
vary_k_128,piccard_sqrt,CPA/no-leakage,65536,1000,128,64,8192,1,3,0.185,6.276,20.597,0.375,27.433,216989696,394205,1182615,0.349206,0.333333,0.015873,0.047619,3,0.112,27.393,0.043,0.163,0.042,6.263,0.069,20.573,0.010,0.369,3,3-party-outsourced
vary_k_128,baseline,KPA/leakage,65536,1000,0,0,65536,1,0,0.090,42.475,93.899,2.191,138.655,155500544,2098019,6294057,0.333333,0.333333,0.000000,0.000000,3,1.216,138.441,0.005,0.088,0.302,42.340,0.929,93.805,0.016,2.184,3,3-party-outsourced
vary_k_256,piccard,CPA/no-leakage,65536,1000,256,64,16384,1,1,0.209,10.684,23.762,0.572,35.226,234668032,525155,1575465,0.361111,0.333333,0.027778,0.083333,3,0.165,35.220,0.019,0.215,0.042,10.663,0.133,23.797,0.007,0.572,3,3-party-outsourced
vary_k_256,piccard_sqrt,CPA/no-leakage,65536,1000,256,64,8192,1,3,0.350,6.308,20.708,0.389,27.755,248184832,394205,1182615,0.361111,0.333333,0.027778,0.083333,3,0.113,27.781,0.022,0.357,0.039,6.286,0.101,20.759,0.012,0.386,3,3-party-outsourced
vary_k_256,baseline,KPA/leakage,65536,1000,0,0,65536,1,0,0.090,42.475,93.899,2.191,138.655,155500544,2098019,6294057,0.333333,0.333333,0.000000,0.000000,3,1.216,138.441,0.005,0.088,0.302,42.340,0.929,93.805,0.016,2.184,3,3-party-outsourced
vary_k_512,piccard,CPA/no-leakage,65536,1000,512,64,32768,1,1,1.942,43.973,181.274,3.879,231.068,308576256,1049443,3148329,0.402778,0.333333,0.069444,0.208333,3,62.885,240.913,1.412,2.671,20.234,51.499,42.051,182.165,0.625,3.688,3,3-party-outsourced
vary_k_512,piccard_sqrt,CPA/no-leakage,65536,1000,512,64,8192,1,3,3.675,22.396,102.307,1.328,129.706,308658176,394205,1182615,0.402778,0.333333,0.069444,0.208333,3,6.106,132.793,1.521,3.227,3.005,20.941,10.482,107.648,0.170,1.239,3,3-party-outsourced
vary_k_512,baseline,KPA/leakage,65536,1000,0,0,65536,1,0,0.090,42.475,93.899,2.191,138.655,155500544,2098019,6294057,0.333333,0.333333,0.000000,0.000000,3,1.216,138.441,0.005,0.088,0.302,42.340,0.929,93.805,0.016,2.184,3,3-party-outsourced
vary_m_16,piccard,CPA/no-leakage,65536,1000,128,16,8192,1,1,0.739,18.944,57.828,0.964,78.476,411598848,263011,789033,0.333333,0.333333,0.000000,0.000000,3,10.095,82.449,0.529,0.586,5.823,18.552,5.171,58.848,0.158,0.897,3,3-party-outsourced
vary_m_16,piccard_sqrt,CPA/no-leakage,65536,1000,128,16,8192,1,3,0.835,23.478,101.143,1.597,127.053,414269440,394205,1182615,0.333333,0.333333,0.000000,0.000000,3,6.965,130.754,0.502,0.852,4.755,25.472,2.340,101.780,0.452,1.488,3,3-party-outsourced
